OBJECTID,LEASE_NUMBER,BUS_ASC_NAME,IBLA_APPEAL_FLAG,LEASE_EXPIR_DATE,LEASE_STATUS_CD,LEASE_EFF_DATE,LEASE_EXPT_EXPIR,LEASE_STATUS_CHANGE_DT,LEASE_SECT_AREA,LEASE_SEGR_FLAG,LSE_STAT_EFF_DT,SERIAL_TYPE_CODE,SEGR_XREF_NUM,RGN_APPEAL_FLAG,PEND_LITIG_FLAG,ROYALTY_RATE,INITIAL_AREA,MINERAL_TYPE_CD,BID_SYSTEM_CODE,BID_AMOUNT,PRIMARY_TERM,SALE_DATE,SALE_NUMBER,CURRENT_AREA,ACRE_HECTARE_CD,MMS_REGION_CODE,PROT_NUMBER,PROT_NAME,BLOCK_NUMBER,AREA_CODE,AC_LAB,DATUM_CODE,TRACT_NUMBER,MMS_PLAN_AREA_CD,LEASE_IS_ACTIVE,NOTES,Shape__Area,Shape__Length
1,Y01129,TEXACO,,1994/04/25 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1994/04/25 00:00:00+00,0,N,1994/04/25 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,502250,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR07-03,Barter Island                                               ,985,BI,BI985,0,1129,BFT,N,,0.00541897290077031,0.337942218780135
2,Y01151,TEXACO,,1994/04/25 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1994/04/25 00:00:00+00,0,N,1994/04/25 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,171405,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR07-05,Demarcation Point                                           ,19,DP,DP19,0,1151,BFT,N,,0.00540767109941953,0.337408944673271
3,Y01150,SHELL,,1992/04/28 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1992/04/28 00:00:00+00,0,N,1992/04/28 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,210000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR07-05,Demarcation Point                                           ,18,DP,DP18,0,1150,BFT,N,,0.00540777715013974,0.337421320456266
4,Y01103,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,2259.14,N,1998/04/30 00:00:00+00,L,,,,12.5,2259.14,O&G,R 1/8,141300,10,1988/03/16 00:00:00+00,97,2259.14,H,Y,NR06-04,Flaxman Island                                              ,7580,FI,FI7580,0,1103,BFT,N,,0.00536872034990665,0.334745348692802
5,Y01104,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,1846.35,N,1998/04/30 00:00:00+00,L,,,,12.5,1846.35,O&G,R 1/8,410300,10,1988/03/16 00:00:00+00,97,1846.35,H,Y,NR06-04,Flaxman Island                                              ,7600,FI,FI7600,0,1104,BFT,N,,0.0043780179003079,0.324899770859475
6,Y01106,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,453.75,N,1998/04/30 00:00:00+00,L,,,,12.5,453.75,O&G,R 1/8,34050,10,1988/03/16 00:00:00+00,97,453.75,H,Y,NR06-04,Flaxman Island                                              ,8020,FI,FI8020,0,1106,BFT,N,,0.00107650920563174,0.272214754430808
7,Y01107,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,1886.07,N,1998/04/30 00:00:00+00,L,,,,12.5,1886.07,O&G,R 1/8,1651000,10,1988/03/16 00:00:00+00,97,1886.07,H,Y,NR06-04,Flaxman Island                                              ,8030,FI,FI8030,0,1107,BFT,N,,0.00447231694761285,0.319257484530895
8,Y01108,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,0,N,1998/04/30 00:00:00+00,L,,,,12.5,533.12,O&G,R 1/8,38200,10,1988/03/16 00:00:00+00,97,533.12,H,Y,NR06-04,Flaxman Island                                              ,804,FI,FI804,0,1108,BFT,N,,0.00126489004742325,0.210909012412317
9,Y01111,PHILLIPS,,1998/04/30 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1998/04/30 00:00:00+00,1649.64,N,1998/04/30 00:00:00+00,L,,,,12.5,1649.64,O&G,R 1/8,815100,10,1988/03/16 00:00:00+00,97,1649.64,H,Y,NR06-04,Flaxman Island                                              ,8470,FI,FI8470,0,1111,BFT,N,,0.00390378930569568,0.374830488162827
10,Y01092,UNION,,1993/12/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,23388000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,412,FI,FI412,0,1092,BFT,N,,0.00556571664947114,0.344966803553802
11,Y01093,AMOCO,,1993/12/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,7650000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,413,FI,FI413,0,1093,BFT,N,,0.00556503770076233,0.344975991902306
12,Y01094,AMOCO,,1993/04/05 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/04/05 00:00:00+00,0,N,1993/04/05 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,156000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,414,FI,FI414,0,1094,BFT,N,,0.00556418910036882,0.344977782521684
13,Y01095,CONOCO,,1994/04/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1994/04/20 00:00:00+00,0,N,1994/04/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,148685,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,448,FI,FI448,0,1095,BFT,N,,0.00555701099983708,0.344362132518418
14,Y01096,CONOCO,,1994/04/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1994/04/20 00:00:00+00,0,N,1994/04/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,272520,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,449,FI,FI449,0,1096,BFT,N,,0.0055561065000802,0.344351119859907
15,Y01097,UNION,,1993/12/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,4730000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,456,FI,FI456,0,1097,BFT,N,,0.0055538663009429,0.34441384768841
16,Y01098,SHELL,,1993/12/20 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/12/20 00:00:00+00,0,N,1993/12/20 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,11787000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,457,FI,FI457,0,1098,BFT,N,,0.00555379439992976,0.344430595503102
17,Y01099,AMOCO,,1993/04/05 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/04/05 00:00:00+00,0,N,1993/04/05 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,215000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,458,FI,FI458,0,1099,BFT,N,,0.00555248174896406,0.344430920608768
18,Y01113,TEXACO,,1992/04/09 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1992/04/09 00:00:00+00,0,N,1992/04/09 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,156315,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR07-03,Barter Island                                               ,447,BI,BI447,0,1113,BFT,N,,0.00555316634927294,0.344443193298123
19,Y01100,SHELL,,1993/04/05 00:00:00+00,RELINQ,1988/05/01 00:00:00+00,1998/04/30 00:00:00+00,1993/04/05 00:00:00+00,0,N,1993/04/05 00:00:00+00,L,,,,12.5,2304,O&G,R 1/8,149000,10,1988/03/16 00:00:00+00,97,2304,H,Y,NR06-04,Flaxman Island                                              ,501,FI,FI501,0,1100,BFT,N,,0.00554148435003299,0.343876400105047
